0,35,83,91,149,129,116,103,230,238,221,240,238,237,248,77.78,83.33,72.22,77.78,77.78,61.11
0,49,86,122,117,122,134,147,238,222,251,243,252,253,229,78.95,68.42,78.95,73.68,5.26,5.26
0,49,86,120,113,127,139,113,226,222,233,184,214,232,227,63.16,68.42,68.42,57.89,83.33,5.26
0,35,83,91,118,107,86,112,236,254,250,199,238,246,238,66.67,72.22,83.33,66.67,83.33,55.56
0,35,83,91,133,143,137,158,230,244,243,237,236,229,201,77.78,83.33,61.11,77.78,94.44,66.67
0,35,83,91,114,125,110,120,245,225,243,247,232,248,248,77.78,66.67,66.67,72.22,77.78,66.67
0,37,55,105,154,111,114,136,232,190,239,204,219,231,206,68.42,68.42,84.21,78.95,78.95,26.32
0,35,83,91,136,139,130,132,205,211,238,196,231,229,245,77.78,72.22,77.78,72.22,77.78,83.33
0,35,83,91,124,97,139,124,255,215,226,223,188,247,201,77.78,44.44,77.78,77.78,77.78,72.22
0,49,86,116,142,115,139,98,228,226,227,230,233,237,249,68.42,94.74,68.42,78.95,73.68,5.26
0,49,86,116,133,82,153,121,233,232,240,223,235,243,196,89.47,73.68,73.68,63.16,84.21,10.53
0,49,86,106,128,104,154,159,244,251,249,255,248,218,246,63.16,78.95,52.63,68.42,84.21,15.79
0,49,86,110,119,124,176,121,224,255,242,190,231,240,238,73.68,78.95,63.16,84.21,89.47,15.79
0,49,86,125,112,110,153,130,199,248,220,227,235,227,248,68.42,84.21,78.95,89.47,78.95,15.79
0,49,86,99,119,129,127,102,253,234,245,253,242,237,217,52.63,63.16,73.68,73.68,73.68,15.79
0,49,86,121,132,99,118,127,238,255,204,207,252,236,241,57.89,68.42,68.42,84.21,63.16,21.05
0,49,86,119,131,129,148,164,238,255,228,215,228,238,231,84.21,78.95,68.42,68.42,73.68,15.79
0,49,86,110,107,102,122,86,216,238,220,249,212,245,232,63.16,73.68,89.47,73.68,68.42,15.79
0,49,86,108,140,113,134,106,228,253,236,223,235,192,236,73.68,68.42,78.95,73.68,78.95,21.05
0,49,86,120,120,105,148,138,242,238,245,251,252,249,196,78.95,78.95,68.42,68.42,63.16,15.79
0,49,86,111,149,93,132,133,217,247,240,251,255,232,240,89.47,52.63,68.42,68.42,78.95,21.05
0,49,86,100,122,120,128,148,222,251,214,206,252,247,238,84.21,73.68,73.68,78.95,73.68,10.53
0,49,86,124,139,115,138,113,248,237,245,215,245,214,227,84.21,78.95,73.68,68.42,73.68,15.79
0,49,86,106,145,136,144,114,221,232,251,188,255,224,234,57.89,73.68,68.42,89.47,57.89,15.79
0,35,83,91,140,122,126,109,177,243,224,251,210,249,247,72.22,66.67,72.22,72.22,44.44,66.67
0,35,83,91,108,148,124,124,254,239,236,232,204,214,224,72.22,55.56,83.33,77.78,77.78,61.11
0,35,83,91,120,131,111,158,247,198,245,221,233,224,254,72.22,55.56,77.78,83.33,83.33,66.67
0,35,83,91,122,112,127,125,254,241,236,239,222,251,231,66.67,77.78,77.78,66.67,66.67,61.11
0,35,83,91,141,115,136,148,250,247,255,252,198,235,221,72.22,77.78,88.89,94.44,66.67,94.44
0,37,55,105,127,101,99,147,243,233,234,249,239,246,249,78.95,73.68,68.42,78.95,73.68,15.79
0,37,55,105,151,122,91,124,202,225,228,254,252,228,223,73.68,84.21,73.68,73.68,94.74,15.79
0,37,55,105,136,83,146,119,207,240,254,253,250,247,254,84.21,89.47,78.95,78.95,63.16,0
0,37,55,105,136,120,98,99,252,226,231,255,255,212,240,57.89,73.68,63.16,89.47,78.95,10.53
0,37,55,105,126,126,109,132,232,246,219,255,230,252,245,57.89,68.42,78.95,78.95,78.95,10.53
0,37,55,105,134,128,126,135,247,240,163,244,203,218,203,68.42,73.68,84.21,78.95,89.47,15.79
0,37,55,105,134,87,141,138,236,229,250,231,246,218,232,63.16,63.16,84.21,68.42,21.05,0
0,37,55,105,144,133,116,135,253,255,249,255,255,230,241,89.47,78.95,78.95,78.95,78.95,47.37
0,37,55,105,140,115,127,124,248,238,240,251,186,219,227,63.16,73.68,63.16,73.68,89.47,47.37
0,50,97,122,114,123,138,129,250,224,244,253,253,200,209,78.95,63.16,57.89,84.21,63.16,10.53
0,37,55,105,141,102,129,142,214,204,240,250,253,252,194,78.95,63.16,78.95,73.68,84.21,21.05
1,35,83,91,137,125,137,87,245,216,251,241,223,221,226,83.33,83.33,83.33,55.56,55.56,0
1,35,83,91,131,102,108,141,226,249,245,225,236,159,229,72.22,66.67,83.33,72.22,66.67,0
1,35,83,91,118,98,86,137,237,216,215,221,242,223,173,66.67,72.22,72.22,88.89,66.67,0
1,49,86,120,110,125,127,115,180,236,237,198,218,248,246,78.95,73.68,57.89,63.16,0,5.26
1,49,86,117,88,109,164,97,194,223,222,235,208,252,233,52.63,78.95,78.95,68.42,0,5.26
1,35,83,91,164,126,105,150,246,240,218,248,251,235,208,66.67,77.78,72.22,66.67,72.22,88.89
1,49,86,95,152,154,104,120,242,251,232,197,200,237,236,89.47,78.95,68.42,73.68,5.26,5.26
1,49,86,110,134,131,107,128,228,255,222,252,216,230,239,84.21,68.42,68.42,89.47,10.53,5.26
1,49,86,99,126,129,145,114,236,236,226,234,213,231,244,52.63,78.95,89.47,68.42,15.79,5.26
1,49,86,94,137,109,122,131,226,194,184,196,232,234,244,47.37,78.95,42.11,57.89,21.05,5.26
1,49,86,107,145,121,147,115,196,249,235,210,214,237,226,47.37,73.68,78.95,73.68,15.79,5.26
1,49,86,99,131,130,125,112,211,240,202,243,223,244,208,73.68,68.42,89.47,73.68,10.53,5.26
1,165,161,161,124,170,154,142,144,144,152,144,129,24,145,31.58,15.79,5.26,21.05,21.05,21.05
1,49,86,106,93,147,121,121,254,224,242,201,213,211,217,73.68,78.95,63.16,78.95,10.53,5.26
1,49,86,117,159,127,135,117,238,207,227,217,224,227,233,73.68,73.68,68.42,73.68,10.53,5.26
1,49,86,98,118,124,143,117,225,207,231,240,180,219,241,57.89,73.68,78.95,84.21,15.79,5.26
1,49,86,92,131,138,122,113,235,246,229,219,231,222,241,52.63,63.16,73.68,57.89,5.26,5.26
1,49,86,117,133,129,109,109,208,229,228,208,208,228,220,78.95,94.74,73.68,63.16,10.53,5.26
1,49,86,117,133,118,155,92,255,254,230,233,221,240,249,68.42,57.89,57.89,78.95,15.79,5.26
1,49,86,100,118,125,118,115,252,224,246,218,225,208,208,73.68,68.42,84.21,94.74,5.26,5.26
1,49,86,96,142,95,144,121,226,247,247,252,234,216,227,73.68,57.89,84.21,57.89,5.26,5.26
1,49,86,103,139,115,136,98,228,244,239,236,211,218,233,89.47,84.21,73.68,84.21,5.26,5.26
1,49,86,105,124,121,94,108,236,243,231,230,241,232,232,84.21,78.95,78.95,68.42,5.26,5.26
1,49,86,104,135,123,89,101,217,210,189,214,226,245,245,78.95,84.21,73.68,89.47,5.26,5.26
1,49,86,93,141,108,158,130,247,251,251,207,216,234,255,63.16,73.68,78.95,52.63,5.26,5.26
1,49,86,107,131,139,108,128,236,254,216,240,219,235,214,68.42,78.95,73.68,68.42,5.26,5.26
